id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1956677,TheHumphreyBogart,120623,David,Bronx,Mott Haven,40.80848,-73.92792,Entire home/apt,185,30,16,9/26/18,0.16,1,78,0,
2093304,HiddengeminFortGreene,9791461,Brian,Brooklyn,Fort Greene,40.69304,-73.97148,Entire home/apt,150,3,57,4/2/22,0.71,1,123,9,
1956726,ColorfulBedroomAPTintheEastVillage,2301618,Monica,Manhattan,East Village,40.73171,-73.98864,Entire home/apt,130,30,35,9/26/21,0.34,1,0,1,
2026869,SunnyVillageStudioLongStays,10411521,Matt,Manhattan,East Village,40.7282,-73.9834,Entire home/apt,120,30,0,,,1,0,0,
2094213,LargeStylishBRNohoNolita,10642609,Laura,Manhattan,NoHo,40.72576,-73.99204,Entire home/apt,275,30,8,1/2/17,0.08,1,0,0,
2028272,LuxuriousChelseaAptwithTerrace,4363412,Yonathan,Manhattan,Chelsea,40.73999,-74.00142,Entire home/apt,320,365,24,12/7/18,0.23,1,87,0,
2095959,BigSunlitStudioNiceBedmintoManhattan,10692401,Jp,Queens,Sunnyside,40.74201,-73.92471,Entire home/apt,94,7,27,8/28/16,0.26,1,0,0,
2028291,EntirestudiowithbackyardClosetosubway,10243387,Mirlet,Queens,Long Island City,40.75859,-73.92836,Entire home/apt,156,3,48,5/17/22,0.69,2,331,17,
1959024,SQFTONEBEDROOMTERRACES,10124193,Courtney,Manhattan,Upper East Side,40.78099,-73.95628,Entire home/apt,499,30,6,10/26/14,0.06,1,0,0,
1960045,LoftBedroominLuxuryApartment,6655162,Carlos,Brooklyn,Williamsburg,40.71833,-73.94147,Private room,70,31,0,,,1,0,0,
1960358,CouplesandFamilyParadise,10129919,Jorge,Brooklyn,Cypress Hills,40.68561,-73.87875,Private room,80,3,253,8/23/21,2.53,1,322,5,
1961361,PrivateMasterBRinBRApt,10134825,Kara,Manhattan,Lower East Side,40.71454,-73.98647,Private room,102,30,6,1/2/16,0.07,4,0,0,
2096581,SUNNYAPARTMENTDOWNTOWN,10694601,Gill,Manhattan,East Village,40.72287,-73.98462,Entire home/apt,148,30,21,10/10/16,0.21,1,0,0,
2028432,SunnyPrivateStudioWithBackyardCloseSubway,10243387,Mirlet,Queens,Astoria,40.7568,-73.92935,Private room,100,5,30,5/22/22,0.3,2,342,3,
2028677,BdrminHarlemSunnySpacious,9852787,Brooklyn,Manhattan,Harlem,40.81465,-73.94104,Entire home/apt,115,30,58,1/8/22,0.58,1,315,1,
2031495,BigPrivateSunnyRoominUWSDuplexwTerrace,25100,Susana,Manhattan,Upper West Side,40.7964,-73.96868,Private room,100,30,11,6/7/16,0.11,1,0,0,
2096666,COZYBEDROOMAPARTMENTAMAZINGLOCATION,10695029,Stephanie,Manhattan,Chelsea,40.74035,-74.00137,Entire home/apt,185,3,22,6/19/21,0.25,1,4,1,
2100174,PrivateFurnishedStudioApartment,10710522,Jessica,Manhattan,Upper East Side,40.77334,-73.94943,Entire home/apt,100,30,36,1/9/22,0.36,1,93,3,
2033224,brApartmentinManhattan,10437461,Igor,Manhattan,Harlem,40.81926,-73.95611,Entire home/apt,150,30,12,1/1/18,0.13,1,0,0,
2033605,Prvtbathkitchenlivingentrnc,428210,Oscar & Johanna,Brooklyn,Crown Heights,40.66951,-73.94379,Private room,100,3,5,2/18/20,0.05,3,156,0,
2038278,BrightandOpenAstoriaApartment,10456845,Taylor,Queens,Astoria,40.76587,-73.92938,Entire home/apt,100,30,2,12/30/15,0.02,2,0,0,
2042764,ArchitectshomeinParkSlope,3707465,Sim,Brooklyn,South Slope,40.66706,-73.98439,Entire home/apt,195,30,11,9/6/16,0.11,1,0,0,
2043060,CleanspaciousentirebrinNYC,1499286,Andrey,Manhattan,Midtown,40.7643,-73.98098,Entire home/apt,294,60,47,8/1/21,0.46,1,101,2,
1961760,SunnyDuplexwOutdoorSpaceBigViewsandQuiet,10051267,David,Brooklyn,Carroll Gardens,40.68324,-73.99482,Entire home/apt,359,30,3,7/3/21,0.19,1,333,1,
1965766,LARGEStudioinelevatorbuilding,10153970,Lindsay,Manhattan,Upper East Side,40.76718,-73.96152,Entire home/apt,149,30,1,4/11/16,0.01,1,0,0,
1970574,ParkSlopeTownhouseTOPFLOOR,579495,Susi,Brooklyn,South Slope,40.66433,-73.98805,Entire home/apt,175,30,31,6/17/19,0.33,3,343,0,
1970697,LovelyLargePrivateQueenBedroom,3388950,Amaya,Brooklyn,Bedford-Stuyvesant,40.69426,-73.9346,Private room,73,3,107,5/25/22,1.13,3,0,24,
1971540,SunnyMidtownNYCRoom,10179999,Joseph,Manhattan,Upper West Side,40.76972,-73.98688,Private room,150,30,175,1/1/20,1.78,1,308,0,
2100887,sqftartsyloftSOHONOLITAgem,10545523,Adar,Manhattan,SoHo,40.72084,-73.99775,Entire home/apt,375,30,6,5/19/15,0.06,1,308,0,
1973889,ExposedBrickWallApartment,3020145,Eva,Manhattan,SoHo,40.726124,-74.003654,Entire home/apt,129,31,219,5/1/22,2.12,1,0,2,
1974685,VibrantlovelyBR,428210,Oscar & Johanna,Brooklyn,Crown Heights,40.6692,-73.94392,Entire home/apt,123,4,130,5/26/22,1.25,3,269,33,
1974700,AMAZINGONEBEDROOMINMANHATTAN,1556814,Tammy,Manhattan,Harlem,40.81383,-73.94199,Entire home/apt,257,30,24,11/17/21,0.24,10,279,1,
1975069,LoftBedroominDuplexBRPrivateRoof,151654,Brad,Manhattan,Greenwich Village,40.72802,-73.99686,Private room,105,30,7,12/2/17,0.08,1,0,0,
2043329,StudioinHellsKitchen,10478532,Erin,Manhattan,Hell's Kitchen,40.76494,-73.98799,Entire home/apt,100,30,11,5/27/15,0.11,1,0,0,
2044873,BushwickArtistLoftAwesomeRoom,3886532,Tom & Lily,Brooklyn,Bushwick,40.70799,-73.92255,Private room,82,30,114,3/11/20,1.14,3,0,0,
2101710,IntheheartofHellsKitchen,10717291,Adam,Manhattan,Hell's Kitchen,40.76132,-73.99141,Entire home/apt,175,30,0,,,1,0,0,
2046225,LargeSunnyBrooklynApartment,10490291,Lauren,Brooklyn,Crown Heights,40.66539,-73.95651,Entire home/apt,110,30,3,8/29/16,0.03,1,0,0,
1975999,Luxurystudio,10200352,Marie,Manhattan,Chelsea,40.7416,-73.99752,Entire home/apt,189,30,12,12/14/19,0.26,1,0,0,
2102542,CozyBDmintoNYC,2977901,Andrea,Brooklyn,Cobble Hill,40.68645,-73.994,Entire home/apt,150,30,19,6/22/15,0.19,1,0,0,
1976123,HugeLoftwithPrivateEntrance,6547579,Josh,Manhattan,East Village,40.72693,-73.98902,Entire home/apt,1999,30,20,8/20/15,0.23,1,90,0,
2103480,ThanksgivinginManhattan,10725397,Andrea,Manhattan,Upper West Side,40.77822,-73.98016,Entire home/apt,560,30,0,,,1,0,0,
1978632,GREATBRANDNEWBEDTIMESSQ,914838,Lior,Manhattan,Hell's Kitchen,40.76324,-73.99448,Entire home/apt,130,30,3,11/17/14,0.03,9,365,0,
2046789,HugeArtyEarthyBESTLocation,1442412,Meredith,Manhattan,Gramercy,40.7384,-73.98318,Entire home/apt,359,30,56,6/13/16,0.55,1,0,0,
2104588,TimeSquaredoormanbuildingbdrm,6757150,Olena,Manhattan,Theater District,40.76038,-73.98205,Entire home/apt,240,30,0,,,1,0,0,
1979506,CozyduplexontheUpperEastside,10071119,Nora,Manhattan,Upper East Side,40.76896,-73.95479,Private room,100,30,1,1/2/14,0.01,1,0,0,
1979579,BestCentralParkNYCViewApt,8219931,Jason,Manhattan,Upper West Side,40.78468,-73.97137,Entire home/apt,300,30,0,,,1,0,0,
2106662,Largeonebedroomapartment,10736013,Javier,Manhattan,West Village,40.73123,-74.00255,Entire home/apt,156,30,0,,,1,0,0,
